id;estado;setor;faturamento_informado;divida_total_pj;score;taxa;atraso_corrente;prazo;valor_contrato;valor_contrato_mais_juros;valor_em_aberto
16200;PR;VAREJO;80000;39000;412;4,5885;0;12,6;27743,499;32830,32;0
18955;AM;SIDERURGICA-METALURGIA;64872;0;249;4,6095;0;12,6;22194,3855;26233,32;0
29495;SP;ATACADO;35000;0;332;5,3445;0;12,6;16750,5135;21226,56;0
59274;RJ;VAREJO;40000;39000;372;5,313;0;12,6;11097,429;13663,2;0
92427;SP;SERVICOS ADMINISTRATIVOS;70000;361000;605;4,3575;1165;12,6;33293,2635;39017,88;25436,41
123259;MG;BENS DE CONSUMO;55000;0;418;5,1555;0;12,6;5548,494;6744;0
144748;BA;VAREJO;35000;6000;447;4,8195;0;12,6;16650,543;20586,48;0
153213;GO;SERVICOS PROFISSIONAIS E TECNICOS;98000;233;326;5,04;0;8,4;10953,0435;12434,64;0
155373;RJ;VAREJO;30000;12000;475;4,2945;0;12,6;11096,8935;12859,2;0
157383;RS;VAREJO;30000;76000;456;5,649;0;3,15;5350,5585;5664,3;0
162448;SP;SERVICOS DE ALOJAMENTO/ALIMENTACAO;100000;53000;466;4,368;0;12,6;7768,467;9114,12;0
167236;SP;VAREJO;150000;8000;630;4,263;0;12,6;33293,043;38783,16;0
172440;RR;VAREJO;180000;86000;192;5,103;0;12,6;22195,9185;27192,84;0
1040;BA;VAREJO;80000;50000;684;4,263;0;12,6;22194,8265;25772,64;0
5992;RJ;INDUSTRIA DA CONSTRUCAO;40000;12000;594;4,725;0;12,6;33299,847;40755,24;0
7072;GO;VAREJO;26000;2023;451;5,1555;0;12,6;11096,7465;13453,32;0
15900;PA;ATACADO;29000;0;329;4,977;0;12,6;8924,5065;10622,52;0
22557;MG;SERVICOS DE ALOJAMENTO/ALIMENTACAO;14750;16000;336;5,6385;0;4,2;5361,636;5643,16;0
31821;SP;QUIMICA-PETROQUIMICA;30000;37000;505;4,7775;0;12,6;13316,9505;15926,28;0
35607;SP;ATACADO;150000;95000;374;4,6725;1319;12,6;33474,8505;39566,52;29084,42
72452;CE;VAREJO;90000;5000;154;4,767;1268;12,6;11098,227;13370,76;11142,3
75928;GO;INDUSTRIA DA CONSTRUCAO;35000;0;376;5,04;1122;12,6;11100,6945;13959,12;6979,56
111451;RJ;SERVICOS DE ALOJAMENTO/ALIMENTACAO;20000;0;279;5,5545;0;12,6;5548,683;6920,76;0
112491;BA;VAREJO;15000;4000;249;5,7015;0;12,6;5548,137;6889,92;0
115063;SP;DIVERSOS;50000;9000;224;5,0295;0;10,5;8805,1215;10677,4;0
121118;SP;SERVICOS DIVERSOS;30000;26000;349;5,292;0;12,6;11097,681;13695,84;0
126450;SP;BENS DE CONSUMO;15000;0;742;4,893;1200;12,6;5548,9245;6708,84;6127,91
135710;SP;INDUSTRIA DA CONSTRUCAO;400000;1081000;353;3,885;622;6,3;86810,619;91696,32;12050,6
150725;SP;SERVICOS DE SAUDE;900000;214000;119;3,9585;0;12,6;55786,815;63193,44;0
172326;BA;DIVERSOS;60000;77000;216;4,7355;0;12,6;11096,6835;13147,68;0
1702;SP;VAREJO;390000;194000;378;3,9375;1499;12,6;55791,036;63255,48;35680,71
2223;SP;VAREJO;60000;0;308;5,3235;0;12,6;33292,0035;40989,12;0
3917;RS;SERVICOS PROFISSIONAIS E TECNICOS;85000;29000;314;4,053;0;12,6;55842,2025;65609,04;0
13564;SP;SERVICOS DE SAUDE;100000;79000;747;4,158;0;12,6;55795,278;64213,92;0
21080;PR;SERVICOS DE ALOJAMENTO/ALIMENTACAO;96000;7000;190;5,4705;0;12,6;33291,7725;41284,68;0
25239;RJ;VAREJO;23000;0;657;5,1135;1382;12,6;11097,0825;13470,96;10044,76
27686;SP;SERVICOS DIVERSOS;35000;34000;699;4,5045;0;12,6;16649,157;19999,44;0
32577;SP;VAREJO;300000;166000;444;3,7485;0;6,3;54244,6695;56683,86;0
46834;SP;VAREJO;50000;54000;736;4,473;0;12,6;22195,152;26138,88;0
58499;SP;BENS DE CONSUMO;2791710;3658000;353;3,591;1109;18,9;114643,956;138396,06;91434,32
58938;SC;TRANSPORTE;120000;0;699;4,3575;1084;12,6;22316,49;25913,88;9051,15
85734;RS;VAREJO;130000;125000;547;3,885;0;6,3;21632,709;22735,98;0
149477;AP;VAREJO;50000;0;358;5,166;0;6,3;10815,084;11679,84;0
155726;RJ;INDUSTRIA DA CONSTRUCAO;180000;117000;140;4,83;0;12,6;39078,186;47712,24;0
160251;PR;VAREJO;16000;13000;456;4,599;0;12,6;11097,261;13116,72;0
163923;GO;INDUSTRIA DA CONSTRUCAO;19000;0;494;5,5335;0;7,35;5431,5555;6165,04;0
178882;RJ;TRANSPORTE;114000;0;484;3,9585;0;12,6;27743,1105;31644,12;0
16530;SP;SERVICOS DIVERSOS;8000;0;156;5,796;0;12,6;5548,0005;6897,24;0
23179;RS;ATACADO;6877950;492000;147;4,137;1392;6,3;54249,153;57547,44;27738,18
27839;SP;ATACADO;280000;86000;444;4,5885;1452;6,3;32450,0295;34985,58;34985,58
42716;SP;TELECOM;20000;0;461;4,7985;0;10,5;11005,092;13013,6;0
44914;BA;SERVICOS DE SAUDE;30000;0;720;3,99;0;12,6;16743,6255;19263,6;0
50062;SP;VAREJO;250000;275000;116;4,3785;0;6,3;37988,0235;41078,58;2225,6
54130;BA;INDUSTRIA DIGITAL;14500;5000;839;4,704;0;6,3;5408,193;5835,96;0
55502;GO;VAREJO;70000;30000;194;5,5965;0;12,6;22198,0395;28304,88;0
63647;RJ;SERVICOS DIVERSOS;100000;106000;445;3,9585;0;12,6;55788,3585;63252,48;0
73886;SP;SERVICOS DIVERSOS;350000;364000;181;4,137;0;12,6;55792,38;64019,16;0
74182;SP;ATACADO;550000;570000;408;4,032;1056;12,6;111583,605;127273,56;31551,26
119191;SP;DIVERSOS;997992;2999000;157;3,717;0;12,6;111597,885;125445,72;0
147530;SP;TRANSPORTE;80000;201000;402;5,2395;0;8,4;27383,7375;31387,76;0
150547;TO;SERVICOS PROFISSIONAIS E TECNICOS;10000;10000;357;5,88;1122;12,6;11166,4665;14590,08;12158,4
166337;SP;SERVICOS ADMINISTRATIVOS;200000;232000;275;3,6225;0;12,6;111580,9065;124241,28;0
1096;SP;SERVICOS DE EDUCACAO;85000;4000;520;3,9375;0;12,6;42402,066;48104,04;0
